% time	cellId	IMSI	frame	sframe	RNTI	mcsTb1	sizeTb1	mcsTb2	sizeTb2	ccId
0.041	1	2	5	2	1	28	2196	0	0	0
0.042	1	1	5	3	2	28	2196	0	0	0
0.043	1	3	5	4	3	28	2196	0	0	0
0.049	1	1	5	10	2	28	2196	0	0	0
0.051	1	2	6	2	1	28	2196	0	0	0
0.052	1	3	6	3	3	28	2196	0	0	0
0.141	1	1	15	2	2	28	2196	0	0	0
0.142	1	2	15	3	1	28	2196	0	0	0
0.143	1	3	15	4	3	28	2196	0	0	0
0.144	1	1	15	5	2	28	2196	0	0	0
0.145	1	2	15	6	1	28	2196	0	0	0
0.146	1	3	15	7	3	28	2196	0	0	0
0.241	1	1	25	2	2	28	2196	0	0	0
0.242	1	2	25	3	1	28	2196	0	0	0
0.243	1	3	25	4	3	28	2196	0	0	0
0.244	1	1	25	5	2	28	2196	0	0	0
0.245	1	2	25	6	1	28	2196	0	0	0
0.246	1	3	25	7	3	28	2196	0	0	0
0.341	1	1	35	2	2	28	2196	0	0	0
0.342	1	2	35	3	1	28	2196	0	0	0
0.343	1	3	35	4	3	28	2196	0	0	0
0.344	1	1	35	5	2	28	2196	0	0	0
0.345	1	2	35	6	1	28	2196	0	0	0
0.346	1	3	35	7	3	28	2196	0	0	0
0.441	1	1	45	2	2	28	2196	0	0	0
0.442	1	2	45	3	1	28	2196	0	0	0
0.443	1	3	45	4	3	28	2196	0	0	0
0.444	1	1	45	5	2	28	2196	0	0	0
0.445	1	2	45	6	1	28	2196	0	0	0
0.446	1	3	45	7	3	28	2196	0	0	0
0.541	1	1	55	2	2	28	2196	0	0	0
0.542	1	2	55	3	1	28	2196	0	0	0
0.543	1	3	55	4	3	28	2196	0	0	0
0.544	1	1	55	5	2	28	2196	0	0	0
0.545	1	2	55	6	1	28	2196	0	0	0
0.546	1	3	55	7	3	28	2196	0	0	0
0.641	1	1	65	2	2	28	2196	0	0	0
0.642	1	2	65	3	1	28	2196	0	0	0
0.643	1	3	65	4	3	28	2196	0	0	0
0.644	1	1	65	5	2	28	2196	0	0	0
0.645	1	2	65	6	1	28	2196	0	0	0
0.646	1	3	65	7	3	28	2196	0	0	0
