% time	cellId	IMSI	RNTI	txMode	layer	mcs	size	rv	ndi	correct	ccId
43	1	2	1	0	0	28	2196	0	1	1	0
44	1	1	2	0	0	28	2196	0	1	1	0
45	1	3	3	0	0	28	2196	0	1	1	0
51	1	1	2	0	0	28	2196	0	1	1	0
53	1	2	1	0	0	28	2196	0	1	1	0
54	1	3	3	0	0	28	2196	0	1	1	0
143	1	1	2	0	0	28	2196	0	1	1	0
144	1	2	1	0	0	28	2196	0	1	1	0
145	1	3	3	0	0	28	2196	0	1	1	0
146	1	1	2	0	0	28	2196	0	1	1	0
147	1	2	1	0	0	28	2196	0	1	1	0
148	1	3	3	0	0	28	2196	0	1	1	0
243	1	1	2	0	0	28	2196	0	1	1	0
244	1	2	1	0	0	28	2196	0	1	1	0
245	1	3	3	0	0	28	2196	0	1	1	0
246	1	1	2	0	0	28	2196	0	1	1	0
247	1	2	1	0	0	28	2196	0	1	1	0
248	1	3	3	0	0	28	2196	0	1	1	0
343	1	1	2	0	0	28	2196	0	1	1	0
344	1	2	1	0	0	28	2196	0	1	1	0
345	1	3	3	0	0	28	2196	0	1	1	0
346	1	1	2	0	0	28	2196	0	1	1	0
347	1	2	1	0	0	28	2196	0	1	1	0
348	1	3	3	0	0	28	2196	0	1	1	0
443	1	1	2	0	0	28	2196	0	1	1	0
444	1	2	1	0	0	28	2196	0	1	1	0
445	1	3	3	0	0	28	2196	0	1	1	0
446	1	1	2	0	0	28	2196	0	1	1	0
447	1	2	1	0	0	28	2196	0	1	1	0
448	1	3	3	0	0	28	2196	0	1	1	0
543	1	1	2	0	0	28	2196	0	1	1	0
544	1	2	1	0	0	28	2196	0	1	1	0
545	1	3	3	0	0	28	2196	0	1	1	0
546	1	1	2	0	0	28	2196	0	1	1	0
547	1	2	1	0	0	28	2196	0	1	1	0
548	1	3	3	0	0	28	2196	0	1	1	0
643	1	1	2	0	0	28	2196	0	1	1	0
644	1	2	1	0	0	28	2196	0	1	1	0
645	1	3	3	0	0	28	2196	0	1	1	0
646	1	1	2	0	0	28	2196	0	1	1	0
647	1	2	1	0	0	28	2196	0	1	1	0
648	1	3	3	0	0	28	2196	0	1	1	0
743	1	1	2	0	0	28	2196	0	1	1	0
744	1	2	1	0	0	28	2196	0	1	1	0
745	1	3	3	0	0	28	2196	0	1	1	0
746	1	1	2	0	0	28	2196	0	1	1	0
747	1	2	1	0	0	28	2196	0	1	1	0
748	1	3	3	0	0	28	2196	0	1	1	0
843	1	1	2	0	0	28	2196	0	1	1	0
844	1	2	1	0	0	28	2196	0	1	1	0
845	1	3	3	0	0	28	2196	0	1	1	0
846	1	1	2	0	0	28	2196	0	1	1	0
847	1	2	1	0	0	28	2196	0	1	1	0
848	1	3	3	0	0	28	2196	0	1	1	0
943	1	1	2	0	0	28	2196	0	1	1	0
944	1	2	1	0	0	28	2196	0	1	1	0
945	1	3	3	0	0	28	2196	0	1	1	0
946	1	1	2	0	0	28	2196	0	1	1	0
947	1	2	1	0	0	28	2196	0	1	1	0
948	1	3	3	0	0	28	2196	0	1	1	0
1043	1	1	2	0	0	28	2196	0	1	1	0
1044	1	2	1	0	0	28	2196	0	1	1	0
1045	1	3	3	0	0	28	2196	0	1	1	0
1046	1	1	2	0	0	28	2196	0	1	1	0
1047	1	2	1	0	0	28	2196	0	1	1	0
1048	1	3	3	0	0	28	2196	0	1	1	0
1143	1	1	2	0	0	28	2196	0	1	1	0
1144	1	2	1	0	0	28	2196	0	1	1	0
1145	1	3	3	0	0	28	2196	0	1	1	0
1146	1	1	2	0	0	28	2196	0	1	1	0
1147	1	2	1	0	0	28	2196	0	1	1	0
1148	1	3	3	0	0	28	2196	0	1	1	0
1243	1	1	2	0	0	28	2196	0	1	1	0
1244	1	2	1	0	0	28	2196	0	1	1	0
1245	1	3	3	0	0	28	2196	0	1	1	0
1246	1	1	2	0	0	28	2196	0	1	1	0
1247	1	2	1	0	0	28	2196	0	1	1	0
1248	1	3	3	0	0	28	2196	0	1	1	0
1343	1	1	2	0	0	28	2196	0	1	1	0
1344	1	2	1	0	0	28	2196	0	1	1	0
1345	1	3	3	0	0	28	2196	0	1	1	0
1346	1	1	2	0	0	28	2196	0	1	1	0
1347	1	2	1	0	0	28	2196	0	1	1	0
1348	1	3	3	0	0	28	2196	0	1	1	0
1443	1	1	2	0	0	28	2196	0	1	1	0
1444	1	2	1	0	0	28	2196	0	1	1	0
1445	1	3	3	0	0	28	2196	0	1	1	0
1446	1	1	2	0	0	28	2196	0	1	1	0
1447	1	2	1	0	0	28	2196	0	1	1	0
1448	1	3	3	0	0	28	2196	0	1	1	0
1543	1	1	2	0	0	28	2196	0	1	1	0
1544	1	2	1	0	0	28	2196	0	1	1	0
1545	1	3	3	0	0	28	2196	0	1	1	0
1546	1	1	2	0	0	28	2196	0	1	1	0
1643	1	2	1	0	0	28	2196	0	1	1	0
1644	1	3	3	0	0	28	2196	0	1	1	0
1645	1	1	2	0	0	28	2196	0	1	1	0
1646	1	2	1	0	0	28	2196	0	1	1	0
1743	1	3	3	0	0	28	2196	0	1	1	0
1744	1	1	2	0	0	28	2196	0	1	1	0
1745	1	2	1	0	0	28	2196	0	1	1	0
1843	1	3	3	0	0	28	2196	0	1	1	0
1844	1	1	2	0	0	28	2196	0	1	1	0
1845	1	2	1	0	0	28	2196	0	1	1	0
1943	1	3	3	0	0	28	2196	0	1	1	0
1944	1	1	2	0	0	28	2196	0	1	1	0
1945	1	2	1	0	0	28	2196	0	1	1	0
2043	1	3	3	0	0	28	2196	0	1	1	0
2044	1	1	2	0	0	28	2196	0	1	1	0
2045	1	2	1	0	0	28	2196	0	1	1	0
2143	1	3	3	0	0	28	2196	0	1	1	0
2144	1	1	2	0	0	28	2196	0	1	1	0
2145	1	2	1	0	0	28	2196	0	1	1	0
2243	1	3	3	0	0	28	2196	0	1	1	0
2244	1	1	2	0	0	28	2196	0	1	1	0
2245	1	2	1	0	0	28	2196	0	1	1	0
2343	1	3	3	0	0	28	2196	0	1	1	0
2344	1	1	2	0	0	28	2196	0	1	1	0
2345	1	2	1	0	0	28	2196	0	1	1	0
2443	1	3	3	0	0	28	2196	0	1	1	0
2444	1	1	2	0	0	28	2196	0	1	1	0
2445	1	2	1	0	0	28	2196	0	1	1	0
2543	1	3	3	0	0	28	2196	0	1	1	0
2544	1	1	2	0	0	28	2196	0	1	1	0
2545	1	2	1	0	0	28	2196	0	1	1	0
2643	1	3	3	0	0	28	2196	0	1	1	0
2644	1	1	2	0	0	28	2196	0	1	1	0
2645	1	2	1	0	0	28	2196	0	1	1	0
2743	1	3	3	0	0	28	2196	0	1	1	0
2744	1	1	2	0	0	28	2196	0	1	1	0
2745	1	2	1	0	0	28	2196	0	1	1	0
2843	1	3	3	0	0	28	2196	0	1	1	0
2844	1	1	2	0	0	28	2196	0	1	1	0
2845	1	2	1	0	0	28	2196	0	1	1	0
2943	1	3	3	0	0	28	2196	0	1	1	0
2944	1	1	2	0	0	28	2196	0	1	1	0
2945	1	2	1	0	0	28	2196	0	1	1	0
