% time	cellId	IMSI	frame	sframe	RNTI	mcs	size	ccId
0.035	1	2	4	6	1	0	26	0
0.035	1	1	4	6	2	0	26	0
0.035	1	3	4	6	3	0	26	0
0.036	1	2	4	7	1	0	26	0
0.036	1	1	4	7	2	0	26	0
0.036	1	3	4	7	3	0	26	0
0.037	1	2	4	8	1	0	26	0
0.037	1	1	4	8	2	0	26	0
0.037	1	3	4	8	3	0	26	0
0.038	1	2	4	9	1	0	26	0
0.038	1	1	4	9	2	0	26	0
0.038	1	3	4	9	3	0	26	0
0.039	1	2	4	10	1	0	26	0
0.039	1	1	4	10	2	0	26	0
0.039	1	3	4	10	3	0	26	0
0.04	1	2	5	1	1	0	26	0
0.04	1	1	5	1	2	0	26	0
0.04	1	3	5	1	3	0	26	0
0.041	1	2	5	2	1	28	749	0
0.041	1	1	5	2	2	0	26	0
0.041	1	3	5	2	3	0	26	0
0.042	1	2	5	3	1	28	749	0
0.042	1	1	5	3	2	28	749	0
0.042	1	3	5	3	3	0	26	0
0.043	1	2	5	4	1	28	749	0
0.043	1	1	5	4	2	28	749	0
0.043	1	3	5	4	3	28	749	0
0.044	1	1	5	5	2	28	1095	0
0.044	1	3	5	5	3	28	1095	0
0.045	1	3	5	6	3	28	2292	0
0.135	1	2	14	6	1	28	749	0
0.135	1	1	14	6	2	28	749	0
0.135	1	3	14	6	3	28	749	0
0.136	1	2	14	7	1	28	749	0
0.136	1	1	14	7	2	28	749	0
0.136	1	3	14	7	3	28	749	0
0.137	1	2	14	8	1	28	749	0
0.137	1	1	14	8	2	28	749	0
0.137	1	3	14	8	3	28	749	0
0.235	1	2	24	6	1	28	749	0
0.235	1	1	24	6	2	28	749	0
0.235	1	3	24	6	3	28	749	0
0.236	1	2	24	7	1	28	749	0
0.236	1	1	24	7	2	28	749	0
0.236	1	3	24	7	3	28	749	0
0.237	1	2	24	8	1	28	749	0
0.237	1	1	24	8	2	28	749	0
0.237	1	3	24	8	3	28	749	0
0.335	1	2	34	6	1	28	749	0
0.335	1	1	34	6	2	28	749	0
0.335	1	3	34	6	3	28	749	0
0.336	1	2	34	7	1	28	749	0
0.336	1	1	34	7	2	28	749	0
0.336	1	3	34	7	3	28	749	0
0.337	1	2	34	8	1	28	749	0
0.337	1	1	34	8	2	28	749	0
0.337	1	3	34	8	3	28	749	0
0.435	1	2	44	6	1	28	749	0
0.435	1	1	44	6	2	28	749	0
0.435	1	3	44	6	3	28	749	0
0.436	1	2	44	7	1	28	749	0
0.436	1	1	44	7	2	28	749	0
0.436	1	3	44	7	3	28	749	0
0.437	1	2	44	8	1	28	749	0
0.437	1	1	44	8	2	28	749	0
0.437	1	3	44	8	3	28	749	0
0.535	1	2	54	6	1	28	749	0
0.535	1	1	54	6	2	28	749	0
0.535	1	3	54	6	3	28	749	0
0.536	1	2	54	7	1	28	749	0
0.536	1	1	54	7	2	28	749	0
0.536	1	3	54	7	3	28	749	0
0.537	1	2	54	8	1	28	749	0
0.537	1	1	54	8	2	28	749	0
0.537	1	3	54	8	3	28	749	0
0.635	1	2	64	6	1	28	749	0
0.635	1	1	64	6	2	28	749	0
0.635	1	3	64	6	3	28	749	0
0.636	1	2	64	7	1	28	749	0
0.636	1	1	64	7	2	28	749	0
0.636	1	3	64	7	3	28	749	0
0.637	1	2	64	8	1	28	749	0
0.637	1	1	64	8	2	28	749	0
0.637	1	3	64	8	3	28	749	0
0.735	1	2	74	6	1	28	749	0
0.735	1	1	74	6	2	28	749	0
0.735	1	3	74	6	3	28	749	0
0.736	1	2	74	7	1	28	749	0
0.736	1	1	74	7	2	28	749	0
0.736	1	3	74	7	3	28	749	0
0.737	1	2	74	8	1	28	749	0
0.737	1	1	74	8	2	28	749	0
0.737	1	3	74	8	3	28	749	0
0.835	1	2	84	6	1	28	749	0
0.835	1	1	84	6	2	28	749	0
0.835	1	3	84	6	3	28	749	0
0.836	1	2	84	7	1	28	749	0
0.836	1	1	84	7	2	28	749	0
0.836	1	3	84	7	3	28	749	0
0.837	1	2	84	8	1	28	749	0
0.837	1	1	84	8	2	28	749	0
0.837	1	3	84	8	3	28	749	0
0.935	1	2	94	6	1	28	749	0
0.935	1	1	94	6	2	28	749	0
0.935	1	3	94	6	3	28	749	0
0.936	1	2	94	7	1	28	749	0
0.936	1	1	94	7	2	28	749	0
0.936	1	3	94	7	3	28	749	0
0.937	1	2	94	8	1	28	749	0
0.937	1	1	94	8	2	28	749	0
0.937	1	3	94	8	3	28	749	0
1.035	1	2	104	6	1	28	749	0
1.035	1	1	104	6	2	28	749	0
1.035	1	3	104	6	3	28	749	0
1.036	1	2	104	7	1	28	749	0
1.036	1	1	104	7	2	28	749	0
1.036	1	3	104	7	3	28	749	0
1.037	1	2	104	8	1	28	749	0
1.037	1	1	104	8	2	28	749	0
1.037	1	3	104	8	3	28	749	0
1.135	1	2	114	6	1	28	749	0
1.135	1	1	114	6	2	28	749	0
1.135	1	3	114	6	3	28	749	0
1.136	1	2	114	7	1	28	749	0
1.136	1	1	114	7	2	28	749	0
1.136	1	3	114	7	3	28	749	0
1.137	1	2	114	8	1	28	749	0
1.137	1	1	114	8	2	28	749	0
1.137	1	3	114	8	3	28	749	0
1.235	1	2	124	6	1	28	749	0
1.235	1	1	124	6	2	28	749	0
1.235	1	3	124	6	3	28	749	0
1.236	1	2	124	7	1	28	749	0
1.236	1	1	124	7	2	28	749	0
1.236	1	3	124	7	3	28	749	0
1.237	1	2	124	8	1	28	749	0
1.237	1	1	124	8	2	28	749	0
1.237	1	3	124	8	3	28	749	0
1.335	1	2	134	6	1	28	749	0
1.335	1	1	134	6	2	28	749	0
1.335	1	3	134	6	3	28	749	0
1.336	1	2	134	7	1	28	749	0
1.336	1	1	134	7	2	28	749	0
1.336	1	3	134	7	3	28	749	0
1.337	1	2	134	8	1	28	749	0
1.337	1	1	134	8	2	28	749	0
1.337	1	3	134	8	3	28	749	0
1.435	1	2	144	6	1	28	749	0
1.435	1	1	144	6	2	28	749	0
1.435	1	3	144	6	3	28	749	0
1.436	1	2	144	7	1	28	749	0
1.436	1	1	144	7	2	28	749	0
1.436	1	3	144	7	3	28	749	0
1.437	1	2	144	8	1	28	749	0
1.437	1	1	144	8	2	28	749	0
1.437	1	3	144	8	3	28	749	0
1.535	1	2	154	6	1	28	1095	0
1.535	1	3	154	6	3	28	1095	0
1.536	1	2	154	7	1	28	1095	0
1.536	1	3	154	7	3	28	1095	0
1.635	1	2	164	6	1	28	1095	0
1.635	1	3	164	6	3	28	1095	0
1.636	1	2	164	7	1	28	1095	0
1.636	1	3	164	7	3	28	1095	0
1.735	1	2	174	6	1	28	1095	0
1.735	1	3	174	6	3	28	1095	0
1.736	1	2	174	7	1	28	1095	0
1.736	1	3	174	7	3	28	1095	0
1.835	1	2	184	6	1	28	1095	0
1.835	1	3	184	6	3	28	1095	0
1.836	1	2	184	7	1	28	1095	0
1.836	1	3	184	7	3	28	1095	0
1.935	1	2	194	6	1	28	1095	0
1.935	1	3	194	6	3	28	1095	0
1.936	1	2	194	7	1	28	1095	0
1.936	1	3	194	7	3	28	1095	0
2.035	1	2	204	6	1	28	1095	0
2.035	1	3	204	6	3	28	1095	0
2.036	1	2	204	7	1	28	1095	0
2.036	1	3	204	7	3	28	1095	0
2.135	1	2	214	6	1	28	1095	0
2.135	1	3	214	6	3	28	1095	0
2.136	1	2	214	7	1	28	1095	0
2.136	1	3	214	7	3	28	1095	0
2.235	1	2	224	6	1	28	1095	0
2.235	1	3	224	6	3	28	1095	0
2.236	1	2	224	7	1	28	1095	0
2.236	1	3	224	7	3	28	1095	0
2.335	1	2	234	6	1	28	1095	0
2.335	1	3	234	6	3	28	1095	0
2.336	1	2	234	7	1	28	1095	0
2.336	1	3	234	7	3	28	1095	0
2.435	1	2	244	6	1	28	1095	0
2.435	1	3	244	6	3	28	1095	0
2.436	1	2	244	7	1	28	1095	0
2.436	1	3	244	7	3	28	1095	0
2.535	1	2	254	6	1	28	1095	0
2.535	1	3	254	6	3	28	1095	0
2.536	1	2	254	7	1	28	1095	0
2.536	1	3	254	7	3	28	1095	0
2.635	1	2	264	6	1	28	1095	0
2.635	1	3	264	6	3	28	1095	0
2.636	1	2	264	7	1	28	1095	0
2.636	1	3	264	7	3	28	1095	0
2.735	1	2	274	6	1	28	1095	0
2.735	1	3	274	6	3	28	1095	0
2.736	1	2	274	7	1	28	1095	0
2.736	1	3	274	7	3	28	1095	0
2.835	1	2	284	6	1	28	1095	0
2.835	1	3	284	6	3	28	1095	0
2.836	1	2	284	7	1	28	1095	0
2.836	1	3	284	7	3	28	1095	0
2.935	1	2	294	6	1	28	1095	0
2.935	1	3	294	6	3	28	1095	0
2.936	1	2	294	7	1	28	1095	0
2.936	1	3	294	7	3	28	1095	0
