% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi	ccId
41	1	1	2	0	0	26	0	1	0
41	1	2	1	0	0	26	0	1	0
41	1	3	3	0	0	26	0	1	0
42	1	1	2	0	0	26	0	1	0
42	1	2	1	0	0	26	0	1	0
42	1	3	3	0	0	26	0	1	0
43	1	1	2	0	0	26	0	1	0
43	1	2	1	0	0	26	0	1	0
43	1	3	3	0	0	26	0	1	0
44	1	1	2	0	0	26	0	1	0
44	1	2	1	0	0	26	0	1	0
44	1	3	3	0	0	26	0	1	0
45	1	1	2	0	0	26	0	1	0
45	1	2	1	0	0	26	0	1	0
45	1	3	3	0	0	26	0	1	0
46	1	1	2	0	0	26	0	1	0
46	1	2	1	0	0	26	0	1	0
46	1	3	3	0	0	26	0	1	0
47	1	1	2	0	0	26	0	1	0
47	1	2	1	0	28	749	0	1	0
47	1	3	3	0	0	26	0	1	0
48	1	1	2	0	28	749	0	1	0
48	1	2	1	0	28	749	0	1	0
48	1	3	3	0	0	26	0	1	0
49	1	1	2	0	28	749	0	1	0
49	1	2	1	0	28	749	0	1	0
49	1	3	3	0	28	749	0	1	0
50	1	1	2	0	28	1095	0	1	0
50	1	3	3	0	28	1095	0	1	0
51	1	3	3	0	28	2292	0	1	0
141	1	1	2	0	28	749	0	1	0
141	1	2	1	0	28	749	0	1	0
141	1	3	3	0	28	749	0	1	0
142	1	1	2	0	28	749	0	1	0
142	1	2	1	0	28	749	0	1	0
142	1	3	3	0	28	749	0	1	0
143	1	1	2	0	28	749	0	1	0
143	1	2	1	0	28	749	0	1	0
143	1	3	3	0	28	749	0	1	0
241	1	1	2	0	28	749	0	1	0
241	1	2	1	0	28	749	0	1	0
241	1	3	3	0	28	749	0	1	0
242	1	1	2	0	28	749	0	1	0
242	1	2	1	0	28	749	0	1	0
242	1	3	3	0	28	749	0	1	0
243	1	1	2	0	28	749	0	1	0
243	1	2	1	0	28	749	0	1	0
243	1	3	3	0	28	749	0	1	0
341	1	1	2	0	28	749	0	1	0
341	1	2	1	0	28	749	0	1	0
341	1	3	3	0	28	749	0	1	0
342	1	1	2	0	28	749	0	1	0
342	1	2	1	0	28	749	0	1	0
342	1	3	3	0	28	749	0	1	0
343	1	1	2	0	28	749	0	1	0
343	1	2	1	0	28	749	0	1	0
343	1	3	3	0	28	749	0	1	0
441	1	1	2	0	28	749	0	1	0
441	1	2	1	0	28	749	0	1	0
441	1	3	3	0	28	749	0	1	0
442	1	1	2	0	28	749	0	1	0
442	1	2	1	0	28	749	0	1	0
442	1	3	3	0	28	749	0	1	0
443	1	1	2	0	28	749	0	1	0
443	1	2	1	0	28	749	0	1	0
443	1	3	3	0	28	749	0	1	0
541	1	1	2	0	28	749	0	1	0
541	1	2	1	0	28	749	0	1	0
541	1	3	3	0	28	749	0	1	0
542	1	1	2	0	28	749	0	1	0
542	1	2	1	0	28	749	0	1	0
542	1	3	3	0	28	749	0	1	0
543	1	1	2	0	28	749	0	1	0
543	1	2	1	0	28	749	0	1	0
543	1	3	3	0	28	749	0	1	0
641	1	1	2	0	28	749	0	1	0
641	1	2	1	0	28	749	0	1	0
641	1	3	3	0	28	749	0	1	0
642	1	1	2	0	28	749	0	1	0
642	1	2	1	0	28	749	0	1	0
642	1	3	3	0	28	749	0	1	0
643	1	1	2	0	28	749	0	1	0
643	1	2	1	0	28	749	0	1	0
643	1	3	3	0	28	749	0	1	0
741	1	1	2	0	28	749	0	1	0
741	1	2	1	0	28	749	0	1	0
741	1	3	3	0	28	749	0	1	0
742	1	1	2	0	28	749	0	1	0
742	1	2	1	0	28	749	0	1	0
742	1	3	3	0	28	749	0	1	0
743	1	1	2	0	28	749	0	1	0
743	1	2	1	0	28	749	0	1	0
743	1	3	3	0	28	749	0	1	0
841	1	1	2	0	28	749	0	1	0
841	1	2	1	0	28	749	0	1	0
841	1	3	3	0	28	749	0	1	0
842	1	1	2	0	28	749	0	1	0
842	1	2	1	0	28	749	0	1	0
842	1	3	3	0	28	749	0	1	0
843	1	1	2	0	28	749	0	1	0
843	1	2	1	0	28	749	0	1	0
843	1	3	3	0	28	749	0	1	0
941	1	1	2	0	28	749	0	1	0
941	1	2	1	0	28	749	0	1	0
941	1	3	3	0	28	749	0	1	0
942	1	1	2	0	28	749	0	1	0
942	1	2	1	0	28	749	0	1	0
942	1	3	3	0	28	749	0	1	0
943	1	1	2	0	28	749	0	1	0
943	1	2	1	0	28	749	0	1	0
943	1	3	3	0	28	749	0	1	0
1041	1	1	2	0	28	749	0	1	0
1041	1	2	1	0	28	749	0	1	0
1041	1	3	3	0	28	749	0	1	0
1042	1	1	2	0	28	749	0	1	0
1042	1	2	1	0	28	749	0	1	0
1042	1	3	3	0	28	749	0	1	0
1043	1	1	2	0	28	749	0	1	0
1043	1	2	1	0	28	749	0	1	0
1043	1	3	3	0	28	749	0	1	0
1141	1	1	2	0	28	749	0	1	0
1141	1	2	1	0	28	749	0	1	0
1141	1	3	3	0	28	749	0	1	0
1142	1	1	2	0	28	749	0	1	0
1142	1	2	1	0	28	749	0	1	0
1142	1	3	3	0	28	749	0	1	0
1143	1	1	2	0	28	749	0	1	0
1143	1	2	1	0	28	749	0	1	0
1143	1	3	3	0	28	749	0	1	0
1241	1	1	2	0	28	749	0	1	0
1241	1	2	1	0	28	749	0	1	0
1241	1	3	3	0	28	749	0	1	0
1242	1	1	2	0	28	749	0	1	0
1242	1	2	1	0	28	749	0	1	0
1242	1	3	3	0	28	749	0	1	0
1243	1	1	2	0	28	749	0	1	0
1243	1	2	1	0	28	749	0	1	0
1243	1	3	3	0	28	749	0	1	0
1341	1	1	2	0	28	749	0	1	0
1341	1	2	1	0	28	749	0	1	0
1341	1	3	3	0	28	749	0	1	0
1342	1	1	2	0	28	749	0	1	0
1342	1	2	1	0	28	749	0	1	0
1342	1	3	3	0	28	749	0	1	0
1343	1	1	2	0	28	749	0	1	0
1343	1	2	1	0	28	749	0	1	0
1343	1	3	3	0	28	749	0	1	0
1441	1	1	2	0	28	749	0	1	0
1441	1	2	1	0	28	749	0	1	0
1441	1	3	3	0	28	749	0	1	0
1442	1	1	2	0	28	749	0	1	0
1442	1	2	1	0	28	749	0	1	0
1442	1	3	3	0	28	749	0	1	0
1443	1	1	2	0	28	749	0	1	0
1443	1	2	1	0	28	749	0	1	0
1443	1	3	3	0	28	749	0	1	0
1541	1	2	1	0	28	1095	0	1	0
1541	1	3	3	0	28	1095	0	1	0
1542	1	2	1	0	28	1095	0	1	0
1542	1	3	3	0	28	1095	0	1	0
1641	1	2	1	0	28	1095	0	1	0
1641	1	3	3	0	28	1095	0	1	0
1642	1	2	1	0	28	1095	0	1	0
1642	1	3	3	0	28	1095	0	1	0
1741	1	2	1	0	28	1095	0	1	0
1741	1	3	3	0	28	1095	0	1	0
1742	1	2	1	0	28	1095	0	1	0
1742	1	3	3	0	28	1095	0	1	0
1841	1	2	1	0	28	1095	0	1	0
1841	1	3	3	0	28	1095	0	1	0
1842	1	2	1	0	28	1095	0	1	0
1842	1	3	3	0	28	1095	0	1	0
1941	1	2	1	0	28	1095	0	1	0
1941	1	3	3	0	28	1095	0	1	0
1942	1	2	1	0	28	1095	0	1	0
1942	1	3	3	0	28	1095	0	1	0
2041	1	2	1	0	28	1095	0	1	0
2041	1	3	3	0	28	1095	0	1	0
2042	1	2	1	0	28	1095	0	1	0
2042	1	3	3	0	28	1095	0	1	0
2141	1	2	1	0	28	1095	0	1	0
2141	1	3	3	0	28	1095	0	1	0
2142	1	2	1	0	28	1095	0	1	0
2142	1	3	3	0	28	1095	0	1	0
2241	1	2	1	0	28	1095	0	1	0
2241	1	3	3	0	28	1095	0	1	0
2242	1	2	1	0	28	1095	0	1	0
2242	1	3	3	0	28	1095	0	1	0
2341	1	2	1	0	28	1095	0	1	0
2341	1	3	3	0	28	1095	0	1	0
2342	1	2	1	0	28	1095	0	1	0
2342	1	3	3	0	28	1095	0	1	0
2441	1	2	1	0	28	1095	0	1	0
2441	1	3	3	0	28	1095	0	1	0
2442	1	2	1	0	28	1095	0	1	0
2442	1	3	3	0	28	1095	0	1	0
2541	1	2	1	0	28	1095	0	1	0
2541	1	3	3	0	28	1095	0	1	0
2542	1	2	1	0	28	1095	0	1	0
2542	1	3	3	0	28	1095	0	1	0
2641	1	2	1	0	28	1095	0	1	0
2641	1	3	3	0	28	1095	0	1	0
2642	1	2	1	0	28	1095	0	1	0
2642	1	3	3	0	28	1095	0	1	0
2741	1	2	1	0	28	1095	0	1	0
2741	1	3	3	0	28	1095	0	1	0
2742	1	2	1	0	28	1095	0	1	0
2742	1	3	3	0	28	1095	0	1	0
2841	1	2	1	0	28	1095	0	1	0
2841	1	3	3	0	28	1095	0	1	0
2842	1	2	1	0	28	1095	0	1	0
2842	1	3	3	0	28	1095	0	1	0
2941	1	2	1	0	28	1095	0	1	0
2941	1	3	3	0	28	1095	0	1	0
2942	1	2	1	0	28	1095	0	1	0
2942	1	3	3	0	28	1095	0	1	0
